<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
24/03/22,000000,121.56,123.74,116.93,118.2,105582
25/03/22,000000,118.88,120.92,115.16,119.98,73408
27/03/22,000000,115.79,116.03,113,114.12,3825
28/03/22,000000,114.09,114.82,106.06,106.6,183379
29/03/22,000000,107.21,111.8,102.19,108.56,230507
30/03/22,000000,109.6,112.28,107.93,111,136387
31/03/22,000000,110.99,111.16,104.06,105.65,212910
01/04/22,000000,105.25,106.24,102.35,104.75,137968
03/04/22,000000,104.08,104.31,102.89,103.54,2374
04/04/22,000000,103.49,108.68,103.07,107.98,126449
05/04/22,000000,108.51,109.9,104.53,105.68,131302
06/04/22,000000,105.7,108.67,100.54,101.65,181454
07/04/22,000000,101.78,103.59,98.41,101.41,172293
08/04/22,000000,101.42,103.3,99.65,102.4,129545
10/04/22,000000,103.21,103.3,101.17,101.28,989
11/04/22,000000,101.25,101.69,97.57,99.35,123292
12/04/22,000000,99.35,105.6,98.9,104.93,162778
13/04/22,000000,105.44,109,104.06,108.88,134100
14/04/22,000000,108.29,112.39,106.63,111.66,133803
17/04/22,000000,112.32,113.7,112,113.2,3977
18/04/22,000000,113.19,114.84,110.71,112.84,75596
19/04/22,000000,112.85,114.21,106.74,107.6,146196
20/04/22,000000,108.1,109,104.65,107.23,128139
21/04/22,000000,107.07,109.8,106.76,108.83,104002
22/04/22,000000,108.26,108.76,105.54,106.2,67142
24/04/22,000000,105.49,105.85,104.61,105.08,1910
25/04/22,000000,104.86,105.37,99.48,102.63,76735
26/04/22,000000,102.53,105.81,101.08,104.87,128158
27/04/22,000000,105.06,105.98,103,104.94,133511
28/04/22,000000,104.77,107.71,102.9,107.12,171863
29/04/22,000000,107.07,110,106.08,106.08,173634
01/05/22,000000,106.3,107.42,105.48,106.91,2498
02/05/22,000000,106.99,108.46,103.1,107.64,103786
03/05/22,000000,107.61,108.32,104.62,105.94,113028
04/05/22,000000,105.91,111,105.46,110.22,146625
05/05/22,000000,110.55,114,109.2,111.06,163520
06/05/22,000000,111.27,113.5,109.87,113.22,138031
08/05/22,000000,112.94,113.15,111.49,111.84,1233
09/05/22,000000,111.85,113.2,105,105.25,182281
10/05/22,000000,105.5,106.96,101.54,101.6,189260
11/05/22,000000,101.51,108.29,101.3,107.51,170929
12/05/22,000000,107.67,108.71,104.69,107.92,150968
13/05/22,000000,108.25,111.69,107.79,111.22,127967
15/05/22,000000,111.67,112.49,111.44,112.41,3174
16/05/22,000000,112.39,114.79,108.84,114.03,132500
17/05/22,000000,114.42,115.69,111.09,112.83,161268
18/05/22,000000,112.91,114.15,108.35,109.25,162611
19/05/22,000000,108.22,112.31,105.7,111.5,178920
20/05/22,000000,111.45,113.23,110.52,112.91,94536
22/05/22,000000,112.85,112.97,111.97,112.78,636
23/05/22,000000,112.71,114.34,111.86,113.47,99307
24/05/22,000000,112.79,114.63,111.7,113.84,103290
25/05/22,000000,114.12,115.3,113.01,114.5,76601
26/05/22,000000,114.35,114.99,111.2,114.46,110592
27/05/22,000000,114.37,115.8,113.12,115.32,136064
29/05/22,000000,115.47,116.26,115.32,116.08,1876
30/05/22,000000,116.07,117.94,115.88,117.7,78818
31/05/22,000000,118.2,120.8,115.15,116.27,241109
01/06/22,000000,116.08,118.57,115.4,115.9,143773
02/06/22,000000,115.02,118.46,112.45,118.29,141318
03/06/22,000000,118.22,121.45,116.02,121.08,94619
05/06/22,000000,121.55,121.95,121.2,121.25,1950
06/06/22,000000,121.25,121.49,118.77,119.99,127088
07/06/22,000000,119.94,121.37,118.55,121,160053
08/06/22,000000,120.65,124.4,120.45,123.94,161152
09/06/22,000000,123.6,124.34,122.5,122.93,133115
10/06/22,000000,122.89,124.33,119.81,121.93,180008
12/06/22,000000,121.94,121.94,120,120.18,2821
13/06/22,000000,120.21,123.7,118.93,122.36,162828
14/06/22,000000,121.88,125.19,118.91,121.09,174500
15/06/22,000000,120.79,121.88,117.75,118.98,142637
16/06/22,000000,119.65,120.29,115.56,119.03,163422
17/06/22,000000,119.13,121.25,111.72,113.61,220010
19/06/22,000000,113.88,114.38,113.51,113.95,1125
20/06/22,000000,113.99,114.5,111.52,114.21,97455
21/06/22,000000,114.21,116.25,114.02,114.89,117103
22/06/22,000000,114.4,114.45,107.03,110.03,184541
23/06/22,000000,109.58,112.7,108.04,109.83,106153
24/06/22,000000,110.04,114,109.24,113.19,73948
26/06/22,000000,109,109,107.37,107.97,1282
27/06/22,000000,108.02,111.89,107.15,111.21,135878
28/06/22,000000,111.57,114.1,111.48,114,125576
29/06/22,000000,113.93,116.24,111.74,112.3,160109
30/06/22,000000,112.45,113.25,108.19,109.2,197737
01/07/22,000000,109.49,112.45,108.03,111.48,151289
03/07/22,000000,111.65,111.94,111.28,111.34,626
04/07/22,000000,111.32,114,110.4,113.83,69977
05/07/22,000000,113.54,114.75,101.1,104.8,306858
06/07/22,000000,104.88,105.85,98.5,99.8,240657
07/07/22,000000,100.14,106.35,98.5,104.1,192940
08/07/22,000000,104.65,107.47,103.67,107.15,151819
10/07/22,000000,107,107.07,106.2,106.89,1017
11/07/22,000000,106.92,107.7,103.64,106.41,122092
12/07/22,000000,106.25,106.56,98.9,99.22,174875
13/07/22,000000,98.5,101.21,98.28,99.85,156779
14/07/22,000000,99.43,100.39,94.5,99.71,185569
15/07/22,000000,99.91,102.64,98.17,101.13,134325
17/07/22,000000,100.82,101.5,100.72,100.84,664
18/07/22,000000,100.81,106.48,99.46,105.69,133366
19/07/22,000000,105.74,107.61,103.6,107.27,124619
20/07/22,000000,107.07,107.45,105.08,106.61,99135
21/07/22,000000,106.49,106.78,101.5,103.89,132533
22/07/22,000000,103.86,105.72,101.9,103.61,74365
24/07/22,000000,103.42,104.21,103.41,103.54,266
25/07/22,000000,103.52,105.38,101.64,104.89,52227
26/07/22,000000,104.8,107.34,99.05,99.72,99935
27/07/22,000000,99.83,102.88,98.85,102.33,136228
28/07/22,000000,102.35,104.2,100.97,102.4,164858
29/07/22,000000,102.69,106.5,101.64,104,167292
31/07/22,000000,103.92,104.04,103.05,103.41,1206
01/08/22,000000,103.44,104.43,99.09,99.93,172604
02/08/22,000000,99.87,102.41,98.49,99.92,148906
03/08/22,000000,99.73,102.41,96.5,97.1,193318
04/08/22,000000,97.1,97.66,93.2,93.6,178822
