<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
24/03/22,000000,1939.5,1967.2,1937.4,1961.5,133113
25/03/22,000000,1961.4,1963.3,1942.6,1957.6,108586
27/03/22,000000,1958.7,1959.8,1941.9,1944.1,16236
28/03/22,000000,1944.1,1946.1,1915.7,1924.9,126251
29/03/22,000000,1925,1925,1888.3,1923,65530
30/03/22,000000,1924.2,1938.7,1916.3,1929.4,17838
31/03/22,000000,1929.2,1955,1923,1943.1,131624
01/04/22,000000,1943,1944.5,1921.4,1928.5,114111
03/04/22,000000,1927.1,1930.8,1921.7,1922.7,9717
04/04/22,000000,1922.7,1941.6,1918.2,1932,99200
05/04/22,000000,1932,1948.9,1919.5,1926.6,144681
06/04/22,000000,1926.7,1937.6,1916.2,1925,142220
07/04/22,000000,1925,1941.7,1923.3,1933.9,112266
08/04/22,000000,1933.8,1952.2,1930.4,1950.4,121177
10/04/22,000000,1949.6,1954.2,1943.6,1946,16932
11/04/22,000000,1945.9,1974.6,1942.9,1963.2,170797
12/04/22,000000,1963.2,1982.7,1953,1973.6,158095
13/04/22,000000,1973.7,1985.8,1969.2,1977.2,121461
14/04/22,000000,1977.4,1983.8,1962.7,1977.1,122165
17/04/22,000000,1978.5,1992.7,1974.4,1988.6,20620
18/04/22,000000,1988.8,2003,1978.1,1981.8,127455
19/04/22,000000,1981.7,1985.1,1944.7,1946.5,176312
20/04/22,000000,1946.6,1960.9,1941,1953.5,125544
21/04/22,000000,1953.3,1956.3,1938,1952.1,141688
22/04/22,000000,1952.2,1957.8,1928,1932.5,147719
24/04/22,000000,1931.9,1935.5,1922.8,1925.3,22999
25/04/22,000000,1925.3,1925.7,1891.8,1903.2,202002
26/04/22,000000,1903.1,1912.2,1896.3,1899.6,147507
27/04/22,000000,1899.7,1908.1,1877.4,1879.2,170949
28/04/22,000000,1879.1,1907,1870.9,1905.6,166213
29/04/22,000000,1905.8,1921.3,1895.2,1896.9,140871
01/05/22,000000,1896.2,1900.4,1884,1888.8,18259
02/05/22,000000,1888.7,1888.8,1853.4,1862.3,174363
03/05/22,000000,1862.3,1878.4,1849.7,1864.5,141650
04/05/22,000000,1864.5,1904,1861.1,1901.8,136188
05/05/22,000000,1901.9,1910.7,1865,1876.5,186660
06/05/22,000000,1876.5,1894,1873,1882.8,123206
08/05/22,000000,1883.7,1885.6,1873,1874.6,15724
09/05/22,000000,1874.7,1875.9,1851,1863.5,146951
10/05/22,000000,1863.5,1864.7,1830.6,1835.2,165392
11/05/22,000000,1835.1,1858.8,1833.5,1852.7,174120
12/05/22,000000,1852.7,1853.9,1809.1,1823.2,187500
13/05/22,000000,1823.1,1827.6,1797.2,1810.3,138686
15/05/22,000000,1809.4,1815.7,1807.4,1808.6,19251
16/05/22,000000,1808.7,1828.4,1785,1821.7,134185
17/05/22,000000,1821.6,1834.8,1805.4,1806.4,114888
18/05/22,000000,1806.5,1822.9,1805,1814.1,102086
19/05/22,000000,1814.2,1848.2,1808.4,1840.1,148537
20/05/22,000000,1840.1,1847.8,1830.6,1845.1,100664
22/05/22,000000,1844.4,1858.2,1843.3,1853.1,16049
23/05/22,000000,1853.2,1864.3,1845.4,1854,105878
24/05/22,000000,1854,1869.1,1848.8,1861.1,118212
25/05/22,000000,1861.1,1861.8,1838.7,1848.7,105627
26/05/22,000000,1848.7,1854.6,1836.3,1852.4,75433
27/05/22,000000,1852.4,1860.7,1846.5,1850.6,11338
29/05/22,000000,1850.3,1858,1845.7,1857.3,159
30/05/22,000000,1858.6,1862.1,1848.3,1854.8,15631
31/05/22,000000,1854.6,1860.2,1835.2,1839,130988
01/06/22,000000,1838.9,1853,1830.2,1847.2,142813
02/06/22,000000,1847.3,1878.6,1846.6,1872.3,125648
03/06/22,000000,1872.3,1872.5,1849.7,1853.9,93621
05/06/22,000000,1853.7,1858.8,1852.4,1858.7,9618
06/06/22,000000,1858.5,1861.2,1838.5,1842.4,94431
07/06/22,000000,1842.3,1858.2,1840.4,1848.8,110995
08/06/22,000000,1848.8,1862.4,1846.6,1857.5,93469
09/06/22,000000,1857.4,1857.6,1841.9,1846.9,117651
10/06/22,000000,1846.9,1879.6,1826.5,1875.2,242501
12/06/22,000000,1879,1882.5,1863.2,1867,31839
13/06/22,000000,1866.9,1870.4,1809.2,1826.8,220400
14/06/22,000000,1826.9,1833.3,1806.1,1816.8,144760
15/06/22,000000,1816.9,1845.4,1814.1,1834.6,190428
16/06/22,000000,1834.6,1861.5,1816.3,1844.6,174734
17/06/22,000000,1844.7,1855.9,1836.1,1841.9,119198
19/06/22,000000,1840.6,1848.4,1836.8,1846,13692
20/06/22,000000,1846,1847.1,1837.4,1842.3,42751
21/06/22,000000,1842.3,1846.2,1827.1,1829.4,121405
22/06/22,000000,1829.4,1850.3,1824.5,1834.3,134517
23/06/22,000000,1834.3,1848.9,1822.4,1826.2,159219
24/06/22,000000,1826.1,1833.7,1817.7,1828.1,115093
26/06/22,000000,1839.6,1842.6,1830.1,1836.9,18134
27/06/22,000000,1836.9,1842.8,1821.8,1827.3,120627
28/06/22,000000,1827.3,1830.7,1819.1,1821.5,77242
29/06/22,000000,1821.7,1834.9,1810.7,1817.9,141753
30/06/22,000000,1818,1826.8,1801.1,1801.5,188699
01/07/22,000000,1801.5,1813.6,1783.4,1812.9,184406
03/07/22,000000,1814.4,1815.2,1806.6,1812.2,11653
