<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
24/03/22,000000,1026.3,1039.1,1014.7,1029.9,11473
25/03/22,000000,1029.7,1038,1002.9,1005.6,11601
27/03/22,000000,1006.5,1008.8,1003,1004.4,396
28/03/22,000000,1004.5,1007.4,982,986.3,12782
29/03/22,000000,986.7,989.6,954.3,983.5,5457
30/03/22,000000,983.5,1004.8,981.2,994,507
31/03/22,000000,994.6,994.6,980.1,988.1,229
01/04/22,000000,987.7,1004.2,985.7,990.1,12651
03/04/22,000000,989.3,992.9,986.9,989,330
04/04/22,000000,988.7,1002,983.6,991.5,10786
05/04/22,000000,991.7,992.4,968,968.6,13951
06/04/22,000000,969.2,975.3,950,954.3,17437
07/04/22,000000,955.2,965,941.4,963.8,13635
08/04/22,000000,963.9,988.7,959,975.5,14087
10/04/22,000000,976.3,983,976.3,978.3,321
11/04/22,000000,978.1,997,973.7,981.3,10904
12/04/22,000000,981.3,987.5,960.5,968.2,13038
13/04/22,000000,968.5,991,967.9,987.3,11703
14/04/22,000000,987.4,996,972.2,991.1,10258
17/04/22,000000,995,1002,991.2,1001,1293
18/04/22,000000,1000.2,1024.9,999.7,1017,11186
19/04/22,000000,1016.9,1026.4,982.3,990.3,15788
20/04/22,000000,990.1,990.7,973,987.3,10866
21/04/22,000000,987.4,991.3,965,968.3,12325
22/04/22,000000,967.9,969,923,923,26806
24/04/22,000000,924,927.9,923,925.2,560
25/04/22,000000,925.3,925.7,901.4,912.6,23808
26/04/22,000000,912.7,921.5,901.7,916.2,16026
27/04/22,000000,916.2,930,895.4,908.9,18909
28/04/22,000000,908.7,927.3,900.5,911.5,14706
29/04/22,000000,911.8,942.4,909.2,932,16151
01/05/22,000000,933.6,937.1,929.8,930.7,837
02/05/22,000000,930,937.4,908.8,932.8,13161
03/05/22,000000,933.3,966.3,929.9,958.7,14917
04/05/22,000000,958.3,987,957.2,986.4,15662
05/05/22,000000,986.2,993.1,960.2,962,17173
06/05/22,000000,962.5,962.9,941,947.4,14540
08/05/22,000000,949.8,949.8,940,943.6,475
09/05/22,000000,943.8,946,912.9,936.1,15701
10/05/22,000000,935.9,970.1,930.5,943.6,16337
11/05/22,000000,943.3,991.7,942.8,982.5,22868
12/05/22,000000,982.8,986.6,929.3,938.3,21775
13/05/22,000000,938.7,952.2,922.7,930.8,11797
15/05/22,000000,932.1,935.8,930.6,935.4,407
16/05/22,000000,935.6,940.8,916.8,928.9,11418
17/05/22,000000,929.5,950.1,923.2,940.3,12383
18/05/22,000000,940.3,957.3,910,915,13143
19/05/22,000000,914.9,958.3,908,947.5,16811
20/05/22,000000,947.9,961,938.1,948.6,11013
22/05/22,000000,948.7,953.2,948.1,952.3,268
23/05/22,000000,951.9,971.7,944.5,947,11063
24/05/22,000000,946.6,957,936.4,945.8,10314
25/05/22,000000,945.8,946.1,922.4,936.4,11158
26/05/22,000000,937,939.5,924,939.1,8536
27/05/22,000000,939.1,946.7,934.2,943,9362
29/05/22,000000,949.2,949.9,941.1,943.3,158
30/05/22,000000,942.3,953.5,940.5,948.1,3723
31/05/22,000000,948,971,941.8,960.7,15822
01/06/22,000000,961.1,1007.5,958.3,991.1,27854
02/06/22,000000,991.7,1029.2,988.3,1025,19896
03/06/22,000000,1024.7,1037.1,1011.4,1020.3,15332
05/06/22,000000,1018.8,1021.4,1017.7,1019,228
06/06/22,000000,1018.8,1038.3,1018,1022.1,15526
07/06/22,000000,1022.3,1022.5,1002,1013.4,13720
08/06/22,000000,1014.1,1016.8,998.7,1009.6,11728
