<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
24/03/22,000000,2350,2350,2314,2314,3
25/03/22,000000,2346,2353.25,2346,2353.25,6
28/03/22,000000,2370,2377.5,2369,2377.5,6
29/03/22,000000,2395,2395,2389,2389,4
30/03/22,000000,2402,2424.5,2402,2424.5,3
31/03/22,000000,2433,2433,2420.5,2420.5,5
01/04/22,000000,2447,2450.09,2447,2450.09,3
04/04/22,000000,2432,2435,2417.25,2417.25,5
05/04/22,000000,2419,2425.29,2419,2425.29,5
06/04/22,000000,2389,2400,2389,2400,6
07/04/22,000000,2405,2405,2375.75,2375.75,3
08/04/22,000000,2425,2425,2390,2390.5,6
11/04/22,000000,2409,2409,2382.25,2382.25,4
12/04/22,000000,2417,2418,2405.5,2405.5,7
13/04/22,000000,2450,2456.25,2450,2453.75,6
14/04/22,000000,2470,2471,2440.25,2440.25,4
19/04/22,000000,2425,2448.49,2425,2448.49,4
20/04/22,000000,2424,2425,2418.25,2418.25,5
21/04/22,000000,2411,2414,2398.75,2398.75,6
22/04/22,000000,2400,2400,2387.5,2389,4
25/04/22,000000,2365,2368,2323.15,2323.15,7
26/04/22,000000,2359,2359,2317.1,2317.1,5
27/04/22,000000,2315,2320,2278.41,2278.41,6
28/04/22,000000,2280,2280,2255,2255,7
29/04/22,000000,2279,2279,2259,2259,5
03/05/22,000000,2268,2268,2246.75,2246.75,4
04/05/22,000000,2275,2278.2,2275,2278.2,4
05/05/22,000000,2305,2305,2266,2266,4
06/05/22,000000,2231,2231,2222.5,2222.5,5
09/05/22,000000,2129,2141.75,2129,2141.75,3
10/05/22,000000,2117,2117,2100.2,2100.2,3
11/05/22,000000,2105,2107,2105,2105.17,5
12/05/22,000000,2073,2078.5,2073,2078.5,4
13/05/22,000000,2064,2064,2044.35,2044.35,5
16/05/22,000000,2093.5,2094,2077.24,2077.24,4
17/05/22,000000,2102,2102,2085.5,2085.5,7
18/05/22,000000,2077,2077,2041.25,2041.25,3
19/05/22,000000,2020,2058.45,2020,2058.45,7
20/05/22,000000,2145,2186.5,2145,2186.5,4
23/05/22,000000,2165,2197,2165,2197,5
24/05/22,000000,2181.5,2181.5,2161.05,2161.05,6
25/05/22,000000,2121,2121.5,2089.5,2089.5,6
26/05/22,000000,2100,2117,2100,2115.5,5
27/05/22,000000,2091,2156,2091,2156,6
30/05/22,000000,2184,2185,2167,2167,7
31/05/22,000000,2176,2176,2173.7,2173.7,5
01/06/22,000000,2143,2163,2143,2163,6
06/06/22,000000,2181,2206.5,2181,2206.5,3
07/06/22,000000,2168,2219,2168,2219,5
08/06/22,000000,2225,2233.51,2225,2233.51,5
09/06/22,000000,2197.5,2198,2197,2197,6
10/06/22,000000,2150,2151,2143.75,2143.75,5
13/06/22,000000,2102,2102,2087,2087,4
14/06/22,000000,2075,2075,2061.5,2061.5,5
15/06/22,000000,2081,2082,2066.25,2066.25,5
16/06/22,000000,2065,2093.01,2065,2093.01,5
17/06/22,000000,2072,2073,2052.75,2052.75,5
20/06/22,000000,2046,2064.44,2046,2064.44,4
21/06/22,000000,2080,2080.5,2062.5,2062.5,5
22/06/22,000000,2038,2040,2020.25,2020.25,5
23/06/22,000000,1985,1985,1945.5,1945.5,3
24/06/22,000000,1896,1913.25,1896,1913.25,5
27/06/22,000000,1982,2006.5,1982,2006.5,3
28/06/22,000000,1989,1989.5,1965,1965,3
29/06/22,000000,1955,1955,1923.3,1923.3,5
30/06/22,000000,1906,1907,1903.5,1903.5,5
01/07/22,000000,1919,1937.5,1919,1937.5,3
04/07/22,000000,1945,1961.25,1945,1961.25,4
05/07/22,000000,1932,1960.25,1932,1960.25,4
06/07/22,000000,1981,1986,1981,1986,4
07/07/22,000000,2015,2015,1979,1979,4
08/07/22,000000,1948,1948,1930.25,1930.25,3
11/07/22,000000,1935,1963,1935,1963,5
12/07/22,000000,1945,1971.5,1945,1971.5,4
13/07/22,000000,1981,1981,1970.5,1970.5,3
14/07/22,000000,1890,1891,1855,1855,4
15/07/22,000000,1920,1966.15,1920,1966.15,5
18/07/22,000000,1994,2015,1994,2015,3
19/07/22,000000,1970,1993.25,1970,1993.25,4
20/07/22,000000,2030,2045.25,2030,2045.25,4
21/07/22,000000,1995,2024.24,1995,2024.24,5
22/07/22,000000,2005,2023.75,2005,2023.75,3
25/07/22,000000,2020,2021,2014.5,2014.5,5
26/07/22,000000,2004,2034,2003.5,2034,5
27/07/22,000000,2016,2020,2016,2020,4
28/07/22,000000,2013,2013,2001.48,2001.48,3
29/07/22,000000,2025,2037.25,2023,2037.25,7
01/08/22,000000,2057,2057.75,2047,2057.75,7
02/08/22,000000,2040,2049,2040,2049,5
03/08/22,000000,2021,2022.5,2021,2022.5,3
04/08/22,000000,2019,2042.5,2019,2042.5,5
05/08/22,000000,2092,2094.75,2092,2094.75,3
08/08/22,000000,2135,2187,2135,2187,6
09/08/22,000000,2183,2183,2178.5,2178.5,5
10/08/22,000000,2175,2188,2175,2188,3
11/08/22,000000,2185.5,2208.5,2185.5,2208.5,4
12/08/22,000000,2176,2189.75,2176,2189.75,3
