<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
24/03/22,000000,4475.57,4520.41,4465.17,4520.16,60073
25/03/22,000000,4525.9,4546.03,4501.07,4543.06,60370
28/03/22,000000,4537.74,4575.58,4517.69,4575.52,59829
29/03/22,000000,4612.9,4637.3,4589.66,4631.6,59925
30/03/22,000000,4620.24,4627.77,4581.32,4602.45,59815
31/03/22,000000,4595.63,4603.07,4530.41,4530.41,59981
01/04/22,000000,4545.53,4548.7,4507.57,4545.86,60395
04/04/22,000000,4547.46,4583.5,4539.21,4582.64,59516
05/04/22,000000,4569.86,4593.45,4515.15,4525.12,60391
06/04/22,000000,4482.75,4503.94,4450.04,4481.15,60451
07/04/22,000000,4473.17,4521.16,4450.3,4500.21,60519
08/04/22,000000,4494.15,4520.41,4474.6,4488.28,60277
11/04/22,000000,4456.26,4464.35,4408.38,4412.53,60160
12/04/22,000000,4437.59,4471,4381.34,4397.45,60344
13/04/22,000000,4394.86,4453.92,4392.7,4446.59,60104
14/04/22,000000,4449.93,4460.46,4390.77,4392.59,59916
18/04/22,000000,4382.88,4410.31,4370.3,4391.69,59998
19/04/22,000000,4391.47,4471.03,4391.24,4462.21,57158
20/04/22,000000,4477.36,4488.29,4448.76,4459.45,59755
21/04/22,000000,4498.51,4512.94,4384.56,4393.66,60527
22/04/22,000000,4385.83,4385.83,4267.96,4271.78,60133
25/04/22,000000,4255.34,4299.02,4200.82,4296.12,60821
26/04/22,000000,4272.81,4273.81,4175.04,4175.2,60799
27/04/22,000000,4184.5,4240.71,4162.9,4183.96,60837
28/04/22,000000,4234.21,4308.45,4188.63,4287.5,61275
29/04/22,000000,4249.81,4269.68,4124.28,4131.93,61096
02/05/22,000000,4130.61,4169.81,4062.51,4155.38,60903
03/05/22,000000,4159.78,4200.1,4147.08,4175.48,60868
04/05/22,000000,4181.18,4307.66,4148.91,4300.17,60773
05/05/22,000000,4260.22,4270.43,4106.01,4146.87,60947
06/05/22,000000,4124.2,4157.69,4067.91,4123.34,60869
09/05/22,000000,4081.27,4081.27,3975.48,3991.24,59495
10/05/22,000000,4051.08,4068.82,3958.17,4001.05,59721
11/05/22,000000,3991.12,4049.09,3928.82,3935.18,59766
12/05/22,000000,3898.26,3964.42,3858.87,3930.08,59271
13/05/22,000000,3972.56,4038.88,3964.6,4023.89,59937
16/05/22,000000,4008.66,4046.46,3983.99,4008.01,60914
17/05/22,000000,4067.8,4090.72,4033.93,4088.85,60608
18/05/22,000000,4043.4,4044.36,3912.64,3923.68,60898
19/05/22,000000,3894.41,3945.96,3876.58,3900.79,60655
20/05/22,000000,3935.73,3943.42,3810.32,3901.36,61249
23/05/22,000000,3929.02,3981.88,3909.04,3973.75,60380
24/05/22,000000,3942.94,3955.68,3875.13,3941.48,60643
25/05/22,000000,3929.59,3999.33,3925.03,3978.73,60497
26/05/22,000000,3984.6,4075.14,3984.6,4057.84,60232
27/05/22,000000,4082.28,4158.49,4077.43,4158.24,59636
31/05/22,000000,4142.43,4168.34,4104.88,4132.15,60138
01/06/22,000000,4156.37,4166.54,4073.85,4101.23,60694
02/06/22,000000,4097.5,4177.51,4074.37,4176.82,60181
03/06/22,000000,4128.76,4142.67,4098.67,4108.54,59797
06/06/22,000000,4149.99,4168.78,4109.18,4121.43,60454
07/06/22,000000,4085.5,4164.86,4080.19,4160.68,59828
08/06/22,000000,4143.21,4160.14,4107.2,4115.77,60016
09/06/22,000000,4096.53,4119.1,4017.26,4017.82,60050
10/06/22,000000,3953.8,3957.97,3900.16,3900.86,60378
13/06/22,000000,3802.6,3838.15,3734.3,3749.63,60364
14/06/22,000000,3766.82,3778.18,3705.68,3735.48,59969
15/06/22,000000,3769.15,3837.56,3722.3,3789.99,59401
16/06/22,000000,3711.7,3711.89,3639.77,3666.77,60402
17/06/22,000000,3665.9,3707.71,3636.87,3674.84,60344
21/06/22,000000,3715.31,3779.65,3715.31,3764.79,59674
22/06/22,000000,3720.71,3801.79,3717.69,3759.89,60168
23/06/22,000000,3779.29,3802.58,3743.52,3795.73,60355
24/06/22,000000,3825.8,3913.65,3825.8,3911.74,59221
27/06/22,000000,3923.74,3927.72,3889.66,3900.11,59923
28/06/22,000000,3913,3945.86,3820.14,3821.55,59518
29/06/22,000000,3825.09,3836.5,3799.02,3818.83,59808
30/06/22,000000,3777.28,3818.99,3738.67,3785.38,60273
01/07/22,000000,3779.09,3829.82,3752.1,3825.33,59961
05/07/22,000000,3775.59,3832.19,3742.06,3831.39,59898
06/07/22,000000,3833.77,3870.91,3809.37,3845.08,59552
07/07/22,000000,3858.85,3910.63,3858.85,3902.62,58965
08/07/22,000000,3888.26,3918.5,3869.34,3899.38,59762
11/07/22,000000,3880.94,3880.94,3847.22,3854.43,59194
12/07/22,000000,3851.95,3873.41,3802.36,3818.8,59796
13/07/22,000000,3764.36,3829.4,3759.07,3801.78,59651
14/07/22,000000,3752.22,3796.41,3721.56,3790.38,60122
15/07/22,000000,3834.6,3863.62,3817.18,3863.16,59146
18/07/22,000000,3894,3902.44,3819.45,3830.85,59627
19/07/22,000000,3869.83,3939.7,3865.51,3936.69,59419
20/07/22,000000,3935.32,3974.13,3922.03,3959.9,60276
21/07/22,000000,3953.54,3999.29,3927.64,3998.95,60128
22/07/22,000000,3999.27,4012.44,3938.86,3961.63,59935
25/07/22,000000,3967.39,3975.3,3943.46,3966.84,59440
26/07/22,000000,3950.23,3953.22,3910.74,3921.05,59634
27/07/22,000000,3955.48,4039.56,3951.43,4023.61,59649
28/07/22,000000,4028.08,4078.95,3992.97,4072.43,60112
29/07/22,000000,4087.5,4140.12,4079.22,4130.29,59753
01/08/22,000000,4112.38,4144.95,4096.02,4118.63,60241
02/08/22,000000,4101.61,4140.47,4079.81,4091.19,60345
03/08/22,000000,4113.57,4167.66,4111.25,4155.17,59924
04/08/22,000000,4153.71,4161.29,4135.42,4151.94,60046
05/08/22,000000,4115.87,4151.58,4107.31,4145.19,59934
08/08/22,000000,4160.02,4186.62,4128.97,4140.06,60329
09/08/22,000000,4133.11,4137.3,4112.09,4122.47,59835
10/08/22,000000,4193.29,4211.03,4177.26,4210.24,59306
11/08/22,000000,4227.4,4257.91,4201.41,4207.27,59914
12/08/22,000000,4225.02,4280.47,4219.78,4280.15,58769
15/08/22,000000,4260.49,4301.79,4256.9,4297.14,59095
16/08/22,000000,4286.99,4325.28,4277.77,4305.2,59498
17/08/22,000000,4268.29,4302.18,4253.08,4274.04,59589
18/08/22,000000,4274.76,4292.53,4261.98,4283.74,59478
19/08/22,000000,4258.17,4259.95,4218.7,4228.48,58899
22/08/22,000000,4176.99,4179.51,4129.86,4137.99,59018
23/08/22,000000,4133.63,4159.77,4124.03,4128.73,59561
24/08/22,000000,4125.77,4156.56,4119.97,4140.77,58981
25/08/22,000000,4157.41,4200.54,4147.59,4199.12,59020
26/08/22,000000,4198.74,4203.04,4057.66,4057.66,60005
29/08/22,000000,4026.53,4062.99,4017.42,4030.61,60093
30/08/22,000000,4044.59,4044.98,3965.21,3986.16,60200
31/08/22,000000,4000.42,4015.37,3954.7,3955,59929
01/09/22,000000,3931.05,3970.23,3903.65,3966.85,60437
02/09/22,000000,4005.94,4018.43,3906.21,3924.26,60384
06/09/22,000000,3930.89,3942.55,3886.75,3908.19,60190
07/09/22,000000,3909.43,3987.89,3906.03,3979.87,59916
08/09/22,000000,3959.94,4010.5,3944.81,4006.18,59933
09/09/22,000000,4030.11,4076.81,4022.94,4067.36,58991
12/09/22,000000,4090.11,4119.28,4083.67,4110.41,59458
13/09/22,000000,4037.12,4037.12,3921.28,3932.69,59394
14/09/22,000000,3940.73,3961.94,3912.18,3946.01,60130
15/09/22,000000,3930.42,3959.14,3888.28,3901.35,59595
16/09/22,000000,3867.98,3877.82,3837.08,3873.33,60145
19/09/22,000000,3839.67,3900.45,3838.5,3899.89,59709
20/09/22,000000,3869.9,3876.01,3827.54,3855.93,59811
21/09/22,000000,3876.62,3907.07,3789.49,3789.93,58644
22/09/22,000000,3782.07,3790.9,3749.45,3757.99,60172
23/09/22,000000,3727.14,3727.14,3647.47,3693.23,59882
26/09/22,000000,3678.85,3715.67,3644.76,3655.04,60725
27/09/22,000000,3692.73,3717.53,3623.29,3647.29,60194
28/09/22,000000,3655.95,3736.74,3640.61,3719.04,59851
29/09/22,000000,3687.01,3687.01,3610.4,3640.47,59738
30/09/22,000000,3631.69,3671.44,3584.79,3585.62,60207
03/10/22,000000,3618.92,3698.35,3604.93,3678.43,59641
04/10/22,000000,3739.25,3791.92,3734.45,3790.93,59883
05/10/22,000000,3747.84,3806.91,3722.66,3783.28,59600
06/10/22,000000,3771.71,3797.93,3739.22,3744.52,60129
07/10/22,000000,3701.5,3702.83,3620.73,3639.66,59814
10/10/22,000000,3651.25,3652.17,3588.1,3612.39,59964
11/10/22,000000,3595.86,3640.66,3568.45,3588.84,60557
12/10/22,000000,3593.57,3608.34,3573.86,3577.03,49346
