<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
24/03/22,000000,25.21,26.16,25.17,25.955,53152
25/03/22,000000,25.95,25.975,25.47,25.725,30592
27/03/22,000000,25.725,25.795,25.345,25.36,5722
28/03/22,000000,25.355,25.37,24.94,25.065,40026
29/03/22,000000,25.065,25.065,24.045,24.955,67654
30/03/22,000000,24.965,25.265,24.74,24.77,33844
31/03/22,000000,24.76,25.285,24.67,25.005,30119
01/04/22,000000,25.005,25.04,24.565,24.755,35911
03/04/22,000000,24.735,24.83,24.67,24.695,2178
04/04/22,000000,24.695,25.005,24.385,24.58,37725
05/04/22,000000,24.58,25.11,24.315,24.465,44401
06/04/22,000000,24.46,24.68,24.2,24.435,39835
07/04/22,000000,24.435,24.8,24.335,24.72,34396
08/04/22,000000,24.725,24.935,24.495,24.905,33125
10/04/22,000000,24.925,25.015,24.8,24.855,4711
11/04/22,000000,24.85,25.6,24.795,25.365,56193
12/04/22,000000,25.365,25.84,25.025,25.715,55106
13/04/22,000000,25.715,26.115,25.605,26,45049
14/04/22,000000,26,26.05,25.46,25.855,37784
17/04/22,000000,25.875,26.21,25.805,26.06,8510
18/04/22,000000,26.07,26.495,25.945,26.06,39188
19/04/22,000000,26.065,26.195,25.09,25.185,56733
20/04/22,000000,25.19,25.4,24.98,25.14,31093
21/04/22,000000,25.14,25.22,24.48,24.575,50958
22/04/22,000000,24.58,24.66,24.08,24.19,43016
24/04/22,000000,24.215,24.24,23.9,23.925,5750
25/04/22,000000,23.925,23.975,23.42,23.87,46145
26/04/22,000000,23.875,23.915,23.445,23.585,32276
27/04/22,000000,23.585,23.765,23.135,23.195,24025
28/04/22,000000,23.185,23.4,22.895,23.325,7486
29/04/22,000000,23.33,23.65,22.71,22.785,46809
01/05/22,000000,22.785,22.88,22.59,22.65,4432
02/05/22,000000,22.64,22.825,22.13,22.655,51169
03/05/22,000000,22.655,22.89,22.44,22.595,39171
04/05/22,000000,22.595,23.345,22.22,23.19,62617
05/05/22,000000,23.19,23.285,22.11,22.425,63124
06/05/22,000000,22.425,22.665,22.28,22.37,49162
08/05/22,000000,22.395,22.395,22.195,22.225,4503
09/05/22,000000,22.23,22.285,21.65,22.03,75849
10/05/22,000000,22.03,22.085,21.155,21.405,72676
11/05/22,000000,21.4,21.97,21.31,21.43,72397
12/05/22,000000,21.435,21.46,20.59,20.755,76104
13/05/22,000000,20.755,21.125,20.42,21.125,49374
15/05/22,000000,21.105,21.295,21.01,21.045,6261
16/05/22,000000,21.04,21.71,20.835,21.575,41762
17/05/22,000000,21.57,21.925,21.475,21.535,36091
18/05/22,000000,21.535,21.75,21.285,21.445,31522
19/05/22,000000,21.445,22.01,21.25,21.86,38370
20/05/22,000000,21.86,22.08,21.58,21.765,28824
22/05/22,000000,21.78,21.945,21.765,21.885,5124
23/05/22,000000,21.885,22.205,21.645,21.775,35134
24/05/22,000000,21.775,22.215,21.665,22.075,34290
25/05/22,000000,22.075,22.08,21.725,21.865,28187
26/05/22,000000,21.87,22.145,21.73,22.12,28235
27/05/22,000000,22.12,22.475,22.03,22.135,31285
29/05/22,000000,22.15,22.245,21.99,22.21,3647
30/05/22,000000,22.21,22.31,21.725,21.8,17533
31/05/22,000000,21.795,21.985,21.455,21.515,45716
01/06/22,000000,21.52,21.995,21.41,21.8,42031
02/06/22,000000,21.805,22.52,21.785,22.44,32689
03/06/22,000000,22.44,22.525,21.86,21.94,30687
05/06/22,000000,21.945,22.32,21.9,22.275,7000
06/06/22,000000,22.275,22.565,21.95,21.965,37181
07/06/22,000000,21.965,22.3,21.84,22.095,32583
08/06/22,000000,22.095,22.23,21.795,22.13,31642
09/06/22,000000,22.135,22.165,21.535,21.65,43527
10/06/22,000000,21.655,22.02,21.235,21.925,58851
12/06/22,000000,22.01,22.04,21.62,21.675,5862
13/06/22,000000,21.67,21.715,20.91,21.14,66418
14/06/22,000000,21.145,21.36,20.845,21.125,43998
15/06/22,000000,21.13,21.845,21.08,21.675,54218
16/06/22,000000,21.675,21.97,21.32,21.795,42642
17/06/22,000000,21.79,21.955,21.56,21.63,29570
19/06/22,000000,21.52,21.72,21.43,21.695,4719
20/06/22,000000,21.695,21.725,21.515,21.67,11624
21/06/22,000000,21.67,21.95,21.37,21.395,37714
22/06/22,000000,21.395,21.58,21.205,21.24,36665
23/06/22,000000,21.24,21.495,20.735,20.99,57404
24/06/22,000000,20.99,21.205,20.545,21.13,46796
26/06/22,000000,21.2,21.42,21.08,21.345,5471
27/06/22,000000,21.35,21.535,21.04,21.185,29749
28/06/22,000000,21.185,21.355,20.67,20.73,17536
29/06/22,000000,20.73,20.995,20.545,20.67,4753
30/06/22,000000,20.675,20.785,19.96,19.98,60478
01/07/22,000000,19.97,20.025,19.295,19.855,62751
03/07/22,000000,19.88,19.93,19.695,19.785,3589
04/07/22,000000,19.78,20.1,19.68,19.985,18227
05/07/22,000000,19.985,20.09,18.97,19.08,63772
06/07/22,000000,19.085,19.355,18.705,19.31,61108
07/07/22,000000,19.31,19.435,19.07,19.125,37699
08/07/22,000000,19.12,19.39,18.935,19.235,36224
10/07/22,000000,19.265,19.3,19.12,19.265,3645
11/07/22,000000,19.26,19.31,18.795,19.015,40683
12/07/22,000000,19.015,19.08,18.63,18.895,44803
13/07/22,000000,18.895,19.36,18.79,19.095,60948
14/07/22,000000,19.1,19.1,18.01,18.245,76329
15/07/22,000000,18.245,18.695,18.095,18.66,46295
17/07/22,000000,18.675,18.81,18.585,18.78,4113
18/07/22,000000,18.785,18.95,18.51,18.595,37244
19/07/22,000000,18.595,18.845,18.59,18.735,33421
20/07/22,000000,18.735,19.03,18.415,18.465,41955
21/07/22,000000,18.465,18.805,18.12,18.665,53740
22/07/22,000000,18.67,18.88,18.42,18.49,40240
24/07/22,000000,18.505,18.54,18.33,18.51,4635
25/07/22,000000,18.505,18.675,18.195,18.415,38905
26/07/22,000000,18.415,18.62,18.31,18.475,35670
27/07/22,000000,18.475,19.235,18.36,19.195,60390
28/07/22,000000,19.195,20.1,19.17,20.09,77489
29/07/22,000000,20.085,20.35,19.825,20.335,52606
31/07/22,000000,20.335,20.34,20.065,20.135,6190
01/08/22,000000,20.13,20.51,20.095,20.22,50728
02/08/22,000000,20.215,20.495,19.75,19.975,57340
03/08/22,000000,19.98,20.14,19.8,19.95,39854
04/08/22,000000,19.955,20.38,19.93,20.255,42325
05/08/22,000000,20.25,20.28,19.47,19.86,47617
07/08/22,000000,19.84,19.88,19.745,19.85,2513
08/08/22,000000,19.855,20.745,19.82,20.685,57756
09/08/22,000000,20.685,20.74,20.4,20.425,37000
10/08/22,000000,20.425,20.83,20.315,20.43,50993
11/08/22,000000,20.435,20.605,20.19,20.33,39205
12/08/22,000000,20.325,20.85,20.2,20.835,39555
14/08/22,000000,20.805,20.87,20.61,20.63,5641
15/08/22,000000,20.635,20.635,20.02,20.2,49161
16/08/22,000000,20.205,20.225,19.86,20.045,32513
17/08/22,000000,20.045,20.24,19.565,19.575,45825
18/08/22,000000,19.575,19.885,19.295,19.305,41687
19/08/22,000000,19.305,19.31,18.925,18.965,44636
21/08/22,000000,18.97,19.065,18.885,18.995,4375
22/08/22,000000,19,19,18.605,18.85,44627
23/08/22,000000,18.855,19.155,18.65,18.925,41088
24/08/22,000000,18.925,19.145,18.815,19.105,31558
25/08/22,000000,19.1,19.26,18.955,19.17,30619
26/08/22,000000,19.17,19.345,18.68,18.775,38863
28/08/22,000000,18.77,18.77,18.43,18.44,4040
29/08/22,000000,18.44,18.68,18.3,18.43,23483
30/08/22,000000,18.415,18.585,18.12,18.355,5169
31/08/22,000000,18.355,18.39,17.46,17.52,64104
01/09/22,000000,17.515,17.75,17.4,17.72,58410
02/09/22,000000,17.73,18.165,17.67,17.91,56774
04/09/22,000000,17.94,17.945,17.815,17.915,2454
05/09/22,000000,17.915,18.285,17.89,18.17,20053
06/09/22,000000,18.175,18.465,17.74,17.765,51807
07/09/22,000000,17.76,18.41,17.74,18.385,46867
08/09/22,000000,18.385,18.77,18.24,18.725,49854
09/09/22,000000,18.725,18.86,18.48,18.785,36915
11/09/22,000000,18.815,18.96,18.785,18.805,3063
12/09/22,000000,18.805,20.005,18.775,19.61,80961
13/09/22,000000,19.605,19.93,19.215,19.295,70789
14/09/22,000000,19.29,19.685,19.255,19.5,42538
15/09/22,000000,19.505,19.595,18.91,19.175,49597
16/09/22,000000,19.175,19.64,18.77,19.615,50166
18/09/22,000000,19.6,19.69,19.39,19.43,4825
19/09/22,000000,19.435,19.605,19.235,19.565,44285
20/09/22,000000,19.565,19.565,19.07,19.3,40156
21/09/22,000000,19.3,19.96,19.25,19.37,69318
22/09/22,000000,19.365,19.89,19.295,19.615,57037
23/09/22,000000,19.61,19.73,18.76,18.835,75997
25/09/22,000000,18.85,18.88,18.45,18.515,10293
26/09/22,000000,18.515,19.045,18.31,18.46,72931
27/09/22,000000,18.46,18.785,18.13,18.16,63771
28/09/22,000000,18.165,18.965,17.895,18.765,78390
29/09/22,000000,18.755,18.895,18.465,18.815,55658
30/09/22,000000,18.815,19.3,18.79,19.015,47673
02/10/22,000000,18.995,19.265,18.98,19.215,3232
03/10/22,000000,19.21,20.99,19.18,20.97,95389
04/10/22,000000,20.97,21.31,20.765,20.865,62838
05/10/22,000000,20.86,21.055,19.985,20.845,73580
06/10/22,000000,20.85,20.93,20.4,20.755,43767
07/10/22,000000,20.755,20.875,20.02,20.16,50640
09/10/22,000000,20.185,20.21,19.745,19.78,11074
10/10/22,000000,19.78,19.97,19.465,19.475,48567
11/10/22,000000,19.475,19.635,19.01,19.1,57145
12/10/22,000000,19.105,19.31,18.84,18.93,20965
13/10/22,000000,18.93,19.29,18.41,18.975,68873
14/10/22,000000,18.975,19.055,18.01,18.2,61105
16/10/22,000000,18.16,18.38,18.155,18.345,5487
17/10/22,000000,18.34,18.89,18.3,18.715,46674
18/10/22,000000,18.715,18.865,18.49,18.625,37027
19/10/22,000000,18.625,18.655,18.15,18.225,35749
20/10/22,000000,18.235,18.96,18.23,18.455,52967
21/10/22,000000,18.455,19.405,18.205,19.4,75268
23/10/22,000000,19.395,19.675,19.2,19.255,12215
24/10/22,000000,19.25,19.415,18.985,19.27,49890
25/10/22,000000,19.265,19.475,18.74,19.455,49994
26/10/22,000000,19.46,19.765,19.385,19.49,50840
27/10/22,000000,19.485,19.66,19.255,19.585,51410
28/10/22,000000,19.59,19.595,18.95,19.2,44759
30/10/22,000000,19.2,19.225,19.075,19.15,3345
31/10/22,000000,19.155,19.42,18.865,19.36,35666
01/11/22,000000,19.36,20.04,19.34,19.7,69228
02/11/22,000000,19.69,20.11,19.09,19.335,60416
03/11/22,000000,19.34,19.645,18.805,19.635,62529
04/11/22,000000,19.635,20.965,19.62,20.915,87780
06/11/22,000000,20.57,20.655,20.475,20.635,11715
07/11/22,000000,20.64,21.08,20.435,20.62,54860
08/11/22,000000,20.62,21.72,20.57,21.415,77931
09/11/22,000000,21.41,21.695,21.045,21.18,62501
10/11/22,000000,21.18,21.94,21.045,21.75,72665
11/11/22,000000,21.745,22.16,21.355,21.795,59978
13/11/22,000000,21.77,21.775,21.55,21.585,6228
